PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
S	Melideo, G; Varricchio, S				Melideo, Giovanna/AAJ-3077-2021		Richter, MM; Smith, CH; Wiehagen, R; Zeugmann, T				Learning unary output two-tape automata from multiplicity and equivalence queries								ALGORITHMIC LEARNING THEORY		Lecture Notes in Artificial Intelligence		1501				87	102											Article; Proceedings Paper	1998	1998	We investigate the learning problem of unary output two-tape non deterministic finite automata (unary output 2-tape NFAs) from multiplicity and equivalence queries. Given an alphabet A and a unary alphabet {x}, a unary output a-tape NFA accepts a subset of A* x {x}*. In [6] Bergadano and Varricchio proved that the behavior of an unknown automaton with multiplicity in a field K (K-automaton) is exactly identifiable when multiplicity and equivalence queries are allowed. In this paper multiplicity automata are used to prove the learnability of unary output 2-tape NFA's. We shall identify the behavior of a unary output 2-tape NFA using an automaton with multiplicity in K-rat<< x >>. We provide an algorithm which is polynomial in the size of this automaton.					9th International Conference on Algorithmic Learning Theory9th International Conference on Algorithmic Learning Theory	OCT 08-10, 1998OCT 08-10, 1998	Japanese Soc Artificial Intelligence; Univ KaiserslauternJapanese Soc Artificial Intelligence; Univ Kaiserslautern	OTZENHAUSEN, GERMANYOTZENHAUSEN, GERMANY	0	0	0	0	0	0	0			0302-9743		3-540-65013-X									Univ Aquila, Dipartimento Matemat Pura & Applicata, I-67100 Laquila, Italy				1998-01-01	WOS:000083674100007		
J	Filtser, Arnold; Filtser, Omrit				Filtser, Omrit/HSI-1071-2023; Filtser, Arnold/KHX-6466-2024	Filtser, Omrit/0000-0002-3978-1428					Plurality in Spatial Voting Games with Constant β								DISCRETE & COMPUTATIONAL GEOMETRY													10.1007/s00454-023-00619-5					JAN 2024		Article; Early Access		2024	Consider a set V of voters, represented by a multiset in a metric space (X, d). The voters have to reach a decision-a point in X. A choice p is an element of X is called a beta-plurality point for V, if for any other choice q is an element of X it holds that |{v is an element of V | beta center dot d( p, v) <= d(q, v)}| >= |V|/2. In other words, at least half of the voters "prefer" p over q, when an extra factor of beta is taken in favor of p. For beta = 1, this is equivalent to Condorcet winner, which rarely exists. The concept of beta-plurality was suggested by Aronov, de Berg, Gudmundsson, and Horton [TALG 2021] as a relaxation of the Condorcet criterion. Let beta((X,d))* = sup{beta| every finite multiset V in X admits a beta-plurality point}. The parameter beta* determines the amount of relaxation required in order to reach a stable decision. Aronov et al. showed that for the Euclidean plane beta((R2,parallel to center dot parallel to 2))* = root 3/2 and more generally, for d-dimensional Euclidean space, 1/root d <= beta((R2,parallel to center dot parallel to 2))* <= root 3/2 In this paper, we show that 0.557 <= beta((R2,parallel to center dot parallel to 2))* for any dimension d (notice that v/root d < 0.557 for avny d >= 4). In addition, we prove that for every metric space ( X, d) it holds that root 2 - 1 <= beta((X,d))* and show that there exists a metric space for which beta((X,d)) * <= 1/2.									0	0	0	0	0	0	0			0179-5376	1432-0444										Bar Ilan Univ, Dept Comp Sci, Ramat Gan, IsraelOpen Univ Israel, Dept Math & Comp Sci, Raanana, Israel				2024-03-06	WOS:001134160200002		
J	Kimbrel, Tracy; Sviridenko, Maxim										High-multiplicity cyclic job shop scheduling								OPERATIONS RESEARCH LETTERS				36	5			574	578				10.1016/j.orl.2008.06.005							Article	SEP 2008	2008	We consider the High-Multiplicity Cyclic Job Shop Scheduling Problem. There are two objectives of interest: the cycle time and the flow time. We give several approximation algorithms after showing that a very restricted case is APX-hard. (c) 2008 Elsevier B.V. All rights reserved.									8	0	0	0	0	0	9			0167-6377	1872-7468										IBM Corp, Thomas J Watson Res Ctr, Yorktown Hts, NY 10598 USA				2008-09-01	WOS:000259874700015		
J	Shi, Jiankang; Yang, Kai				Shi, Jiankang/JFJ-7278-2023						MPL-TransKR: Multi-Perspective Learning Based on Transformer Knowledge Graph Enhanced Recommendation								IEEE ACCESS				11				40761	40769				10.1109/ACCESS.2023.3266835							Article	2023	2023	The emergence of recommender system is aimed at solving the problems brought by information explosion to human life and even the development of human society. As a traditional recommendation technique, collaborative filtering often encounters sparsity and cold start problems in many recommendation scenarios. Therefore, researchers have found that the introduction of side information can solve these problems to a certain extent and improve the performance of recommender systems. The knowledge graph is a heterogeneous graph that contains rich semantic relationships among items. The Multi-Perspective Learning based on Transformer Knowledge Graph Enhanced Recommendation (MPL-TransKR) proposed in this paper uses the knowledge graph as the side information for input and introduces the multi-head self-attention mechanism by reasonably combining the transformer idea. While learning the high-order neighborhood information of the items, the long-distance information between the items is captured, and the weight value is assigned to the user through the attention mechanism to strengthen the user representation to realize user-item multi-perspective learning to enhance the performance of the recommendation model. Through extensive experiments using public datasets, we demonstrated that MPL-TransKR performs well in book and music recommendations, surpassing state-of-the-art baselines on several metrics.									2	1	0	0	0	0	3			2169-3536											Univ Sci & Technol Liaoning, Sch Comp Sci & Software Engn, Anshan 114051, Peoples R China				2023-08-04	WOS:001033133500001		
J	Yuan, Yongwang; Liu, Xiangwei; Lu, Ke				; LU, KE/LIA-9486-2024	Lu, Ke/0000-0002-0792-2628; 					Multi-Perspective Data Fusion Framework Based on Hierarchical BERT: Provide Visual Predictions of Business Processes								CMC-COMPUTERS MATERIALS & CONTINUA				78	1			1227	1252				10.32604/cmc.2023.046937							Article	2024	2024	Predictive Business Process Monitoring (PBPM) is a significant research area in Business Process Management (BPM) aimed at accurately forecasting future behavioral events. At present, deep learning methods are widely cited in PBPM research, but no method has been effective in fusing data information into the control flow for multi-perspective process prediction. Therefore, this paper proposes a process prediction method based on the hierarchical BERT and multi-perspective data fusion. Firstly, the first layer BERT network learns the correlations between different category attribute data. Then, the attribute data is integrated into a weighted event-level feature vector and input into the second layer BERT network to learn the impact and priority relationship of each event on future predicted events. Next, the multi-head attention mechanism within the framework is visualized for analysis, helping to understand the decision-making logic of the framework and providing visual predictions. Finally, experimental results show that the predictive accuracy of the framework surpasses the current state-ofthe-art research methods and significantly enhances the predictive performance of BPM.									3	0	0	0	0	0	3			1546-2218	1546-2226										Anhui Univ Sci & Technol, Sch Math & Big Data, Huainan 232001, Peoples R ChinaAnhui Univ Sci & Technol, Sch Econ & Management, Huainan 232001, Peoples R ChinaTongji Univ, Minist Educ, Key Lab Embedded Syst & Serv Comp, Shanghai 201804, Peoples R China				2024-04-05	WOS:001186529000012		
J	Cariolaro, G; Erseghe, T; Kraniauskas, P; Laurenti, N				Laurenti, Nicola/J-5838-2012; Laurenti, Nicola/Q-6624-2019	Laurenti, Nicola/0000-0001-7592-1929; Erseghe, Tomaso/0000-0003-3060-2013					Multiplicity of fractional Fourier transforms and their relationships								IEEE TRANSACTIONS ON SIGNAL PROCESSING				48	1			227	241				10.1109/78.815493							Article	JAN 2000	2000	The multiplicity of the fractional Fourier transform (FRT), which is intrinsic in any fractional operator, has been claimed by several authors, but never systematically developed, The paper starts with a general FRT definition, based on eigenfunctions and eigenvalues of the ordinary Fourier transform, which allows us to generate all possible definitions. The multiplicity is due to different choices of both the eigenfunction and the eigenvalue classes. A main result, obtained by a generalized form of the sampling theorem, gives explicit relationships between the different FRT's.									59	7	0	0	0	0	68			1053-587X											Univ Padua, Dipartimento Elettron & Informat, I-35131 Padua, ItalySnell & Wilcox Ltd, Petersfield, Hants, England	Snell & Wilcox Ltd			2000-01-01	WOS:000084697300020		
J	ROUSE, KD; COOPER, MJ				Cooper, Matthew/J-4420-2014						COMPUTER-PROGRAM FOR DETERMINING MULTIPLICITIES OF POWDER REFLECTIONS								JOURNAL OF APPLIED CRYSTALLOGRAPHY				10	APR1			134	135				10.1107/S0021889877013107							Editorial Material	1977	1977										4	0	0	0	0	0	4			0021-8898											AERE,DIV MAT PHYS,HARWELL DIDCOT,BERKSHIRE,ENGLAND	AERE			1977-01-01	WOS:A1977DB33300017		
J	Basu, S										Multi-dimensional filter banks and wavelets - A system theoretic perspective								JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS				335B	8			1367	1409				10.1016/S0016-0032(98)00006-4							Article	NOV 1998	1998	We review the current status of multi-dimensional filters bank and wavelet design from the perspective of signal and system theory. The study of wavelets and perfect reconstruction filter banks are known to have roots in traditional filter design techniques. On the other hand, the field of multi-dimensional systems and signal processing has developed a set of tools intrinsic to itself, and has attained a certain level of maturity over the last two decades. We have recently noted a degree of synergy between the two fields of wavelets and multi-dimensional systems. This arises from the fact that many ideas crucial to wavelet design are inherently system theoretic in nature. While there are,many examples of this synergy manifested in recent publications, we provide a flavor of techniques germane to this development by considering a few specific problems in detail. The construction of orthogonal wavelets can be essentially viewed as a circuit and system theoretic problem of design of energy dissipative (passive) filters, the multi-dimensional version of which has very close ties with a classic problem of lumped-distributed passive network synthesis. Groebner basis techniques, matrix completion problems over rings of polynomials or rings of stable rational functions, i.e., Quillen-Suslin (31) type problems are still other examples, which feature in our discussion in an important manner. A number of open problems are also cited. (C) 1998 The Franklin Institute. Published by Elsevier Science Ltd.									26	0	0	0	0	0	27			0016-0032	1879-2693										IBM Corp, Thomas J Watson Res Ctr, Yorktown Heights, NY 10598 USA				1998-11-01	WOS:000076014600003		
J	Li, Xuegang; Jiang, Xingxing; Wang, Qian; Yang, Lidong; Wang, Zhijian; Shen, Changqing; Zhu, Zhongkui				JIANG, xx/KHV-3752-2024; Yang, Lidong/AAJ-9901-2020; Shen, Changqing/AAG-9637-2019	jiang, xingxing/0000-0003-2987-6930; 					Multi-perspective deep transfer learning model: A promising tool for bearing intelligent fault diagnosis under varying working conditions								KNOWLEDGE-BASED SYSTEMS				243						108443			10.1016/j.knosys.2022.108443					MAR 2022		Article	MAY 11 2022	2022	Taking advantage of multi-perspective information such as space, channel and sequence into the deep transfer learning (DTL) model is beneficial to extract discriminative features from the original bearing vibration data. However, the idea with multi-perspectives is not totally considered in the existing DTL models, which might cause insufficient characterizing capabilities of the DTL-based fault diagnosis models with acquiring domain invariant features. To this end, a multi-perspective DTL (MPDTL) model including the perspectives of space, channel and sequence is proposed for the bearing fault diagnosis under varying working conditions in this study. Specifically, the proposed MPDTL model consists of three following parts: (1) A feature enhancement network (FENet) is first established to improve the quality of characteristics under the perspectives of space and channel, in which a residual block attention model with the space and channel attention mechanisms is designed to reduce the redundant features and avoid the gradient vanishing. (2) A bidirectional long-short term memory (BiLSTM) network is further introduced to extract the high-level discriminative features from the output of FENet under the perspective of sequence. Hence, the sequence-related information contained in the features learned by the FENet will be disclosed via feeding the forward and backward sequences into the BiLSTM. (3) The module of optimization objective is designed to update our model under the constraint of domain adaptation learning and domain shared classifier training. Analytical results of three experimental cases show the effectiveness and superiority of the proposed method in enhancing the bearing fault diagnosis under varying working conditions.(c) 2022 Elsevier B.V. All rights reserved.									39	1	0	0	0	0	40			0950-7051	1872-7409										Soochow Univ, Sch Rail Transportat, Suzhou 215131, Peoples R ChinaNorth Univ China, Shanxi Key Lab Adv Mfg Technol, Taiyuan 030051, Peoples R ChinaSuzhou City Univ, Suzhou 215104, Peoples R China				2022-05-06	WOS:000788139700008		
J	Kumar, M. V. Pavan; Kaistha, Nitin				; Kumar, Malladi V Pavan/AGX-2266-2022	Kumar, Malladi V Pavan/0000-0001-9845-4382; 					Role of multiplicity in reactive distillation control system design								JOURNAL OF PROCESS CONTROL				18	7-8			692	706				10.1016/j.jprocont.2007.12.001							Article	AUG-SEP 2008	2008	The impact of steady-state multiplicities on the control of a simulated industrial scale methyl acetate reactive distillation (RD) column is studied. At a fixed reflux rate, output multiplicity, with multiple output values for the same reboiler duty, causes the column to drift to an undesirable steady-state under open loop operation. The same is avoided for a fixed reflux ratio policy. Input multiplicity, where multiple input values give the same output, leads to "wrong" control action under feedback control severely compromising control system robustness. A new metric, rangeability, is defined to quantify the severity of input multiplicity in a steady-state input-output (10) relation. Rangeability is used in conjunction with conventional sensitivity analysis for the design of robust control structures for the RD column. Results for the two synthesized control structures show that controlling the most sensitive reactive tray temperature results in poor robustness due to low rangeability causing "wrong" control action for large disturbances. Controlling a reactive tray temperature with acceptable sensitivity but larger rangeability gives better robustness. It is also shown that controlling the difference in the temperature of two suitably chosen reactive trays further improves robustness of both the structures as input multiplicity is avoided. The article brings out the importance of IO relations for control system design and understanding the complex dynamic behavior of RD systems. (c) 2007 Elsevier Ltd. All rights reserved.									32	0	0	0	0	0	32			0959-1524	1873-2771										Indian Inst Technol, Dept Chem Engn, Kanpur 208016, Uttar Pradesh, India				2008-08-01	WOS:000257525100007		
J	Yang, Bo; Tian, Dongjian; Zhao, Songliang; Wang, Wei; Luo, Jun; Pu, Huayan; Zhou, Mingliang; Pi, Yangjun				Zhou, Mingliang/HPC-0298-2023; Luo, Jun/IQU-6231-2023	Pi, Yangjun/0000-0001-7112-4084; Zhou, Mingliang/0000-0002-1874-3641; 					Robust Aircraft Detection in Imbalanced and Similar Classes With a Multi-Perspectives Aircraft Dataset								IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS				25	12			21442	21454				10.1109/TITS.2024.3443518					AUG 2024		Article	DEC 2024	2024	Aircraft detection holds significant importance in both civilian and military fields, such as air transportation control and battlefield situational awareness. Deep learning-based methods for aircraft detection can obtain promising detection performance with sufficient and labeled samples. However, current public aircraft datasets are mainly from top-down perspective images, lacking multi-perspectives samples, which limits their applicability. Therefore, we construct a multi-perspectives aircraft dataset (MAD), encompassing 10 distinct classes, and making up of 13,205 images and 18,908 instances. Moreover, the imbalanced and similar classes are common issues in aircraft detection. We design an adaptive threshold focal loss (ATFL) function to alleviate the class imbalance through dynamically adjusting the loss weights between different classes. Meanwhile, the dynamic visual center (DVC) module which can effectively capture both local and global information of target is proposed to distinguish the aircraft classes that share similar feature. Finally, we evaluated several state-of-the-art methods on the constructed MAD dataset as baselines for future research.The experimental results verify that the recognition performance of the current state-of-the-art model can be improved after the application of ATFL and DVC. The dataset and code are available at https://github.com/YangBo0411/aircraft-detection.									2	0	0	0	0	0	2			1524-9050	1558-0016										Chongqing Univ, Coll Mech & Vehicle Engn, State Key Lab Mech Transmiss Adv Equipment, Chongqing 400044, Peoples R ChinaChongqing Changan Ind Grp Co Ltd, Chongqing 400044, Peoples R ChinaChongqing Univ, Sch Comp Sci, Chongqing 400044, Peoples R China	Chongqing Changan Ind Grp Co Ltd			2024-09-07	WOS:001303294200001		
J	Vijay, Thakare Kamalakar; Dogra, Debi Prosad; Choi, Heeseung; Nam, Gipyo; Kim, Ig-Jae					Choi, Heeseung/0000-0003-3223-1885; KIM, IG-JAE/0000-0002-2741-7047; Thakare, Kamalakar/0000-0003-4587-4126; Nam, Gi Pyo/0000-0002-3383-7806					Detection of Road Accidents Using Synthetically Generated Multi-Perspective Accident Videos								IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS				24	2			1926	1935				10.1109/TITS.2022.3222769					NOV 2022		Article	FEB 2023	2023	Road accidents are often caused by short abnormal events, including traffic violations, abrupt change in vehicular motion, driver fatigue, etc. Observing an accident event from the right camera perspective plays a crucial role while detecting accidents. However, it may not be possible to capture such abnormal events from a limited camera perspective. We present a deep learning framework to analyze the accident events recorded from multiple perspectives. First, we estimate feature similarity in videos recorded from multiple perspectives. We then divided the video samples into high and low feature similarity groups. Next, we extract spatio-temporal features from each group using two-branch DCNNs and fuse them using a rank-based weighted average pooling strategy followed by classification. We present a new road accident video dataset (MP-RAD), where each accident event is synthetically generated and captured from five independent camera perspectives using a computer gaming platform. Most of the existing road accident datasets use egocentric views or they are captured in fixed camera setups. However, our dataset is large and multi-perspective that can be used to validate ITS-related tasks such as accident detection, accident localization, traffic monitoring, etc. The dataset contains 400 accident events with a total of 2000 videos. We provide temporal annotations of all videos. The proposed framework and the dataset have been cross-validated with latest accident detection baselines trained on real-world road accident videos and vice-versa. The sub-optimal detection accuracy obtained using the baselines indicates that the proposed framework and the dataset can be useful for ITS related research. Code and dataset is available at: https://github.com/draxler1/MP-RAD-Dataset-ITS-									13	0	0	0	0	0	13			1524-9050	1558-0016										Indian Inst Technol Bhubaneswar, Sch Elect Sci, Bhubaneswar 752050, Odisha, IndiaKIST, Artificial Intelligence & Robot Inst, Daejeon 34141, South KoreaYonsei Univ, Yonsei KIST Convergence Res Inst, Seoul 03722, South Korea				2022-12-10	WOS:000890868300001		
J	Augusto Sanchez-Correa, Cesar; Eduardo Arturo-Calvache, Jaime; Dario Gil-Chaves, Ivan; Rodriguez-Nino, Gerardo				; sanchez, cesar/MYR-5207-2025; Gil-Chaves, Iván Darío/AAC-9955-2022	Sanchez-Correa, Cesar Augusto/0000-0002-7826-9582; Gil-Chaves, Ivan-Dario/0000-0002-0638-0222; Arturo Calvache, Jaime Eduardo/0000-0002-4267-3399					Multiplicities in ethanol dehydration by extractive distillation processes with ethyleneglycol								CHEMICAL ENGINEERING AND PROCESSING-PROCESS INTENSIFICATION				174						108886			10.1016/j.cep.2022.108886					MAR 2022		Article	APR 2022	2022	This work presents three process examples, for ethanol dehydration by extractive distillation with ethyleneglycol, where the possibility of multiplicities depends on the specifications. The processes used are the following: classical sequence with two columns, thermally coupled sequence with prefractionator and thermally coupled sequence with a side rectifier. In each sequence analyzed was possible to calculate input multiplicities when the global products purities for ethanol and water are specified variables. The work focuses on the search of a specifications set where the solution of the model equations is unique. It was found that if the degrees of freedom are used to completely specify the separation in the extractive distillation column then there are not input multiplicities. There are no previous reports related with multiplicities for the system ethanol-water-ethyleneglycol. This work enriches the knowledge of this system and contributes with a new concept to calculate the minimum energy consumption without multiplicities. Results are also applicable to extractive distillation processes with dividing wall columns (DWC) because the analyzed thermally coupled sequences are used to represent processes with DWC. Calculations were carried out in the Aspen Plus V10 (R) simulator using RADFRAC modules with the equilibrium stage model to represent distillation units.									7	0	0	0	0	0	7			0255-2701	1873-3204										Fdn Univ Amer, Grp Proc Separat Convenc, Dept Chem & Environm Engn, Avda Circunvalar 20-53, Bogota, ColombiaUniv Nacl Colombia, Dept Chem & Environm Engn, Grp Proc Quim & Bioquim, Carrera 45 26-85, Bogota, Colombia	Fdn Univ Amer			2022-05-19	WOS:000792878900005		
J	Chidambaram, M; Reddy, GP				, Prabhaker Reddy Ginuga/B-1214-2018	, Prabhaker Reddy Ginuga/0000-0002-3083-4044; Manickam, Chidambaram/0000-0002-6560-269X					Nonlinear control of systems with input and output multiplicities								COMPUTERS & CHEMICAL ENGINEERING				20	3			295	299				10.1016/0098-1354(95)00019-4							Article	MAR 1996	1996	Control of nonlinear systems with input and output multiplicities is theoretically analysed. The system is an isothermal CSTR with a nonideal mixing represented by a Cholette's model and with a chemical reaction rate k(1)c/(1 + k(2)c)(2). The system exhibits input multiplicities in the feed concentration and also output multiplicities in the reactor exit concentration. For control system design the nonlinear system is represented by a nonlinear gain cascaded with a linear dynamical system. The performance of an integral controller designed for the overall linear system is compared with that of a nonlinear integral controller. The nonlinear integral controller does not have the problem of moving the input to a different level for a square pulse disturbance.									15	0	0	0	0	2	15			0098-1354															1996-03-01	WOS:A1996TN29200005		
J	Molina-Rodriguez-Navas, Pedro; Lalinde, Johamna Munoz				Molina Rodriguez-Navas, Pedro/G-2660-2015	Molina Rodriguez-Navas, Pedro/0000-0002-1586-881X					Pluralism of News and Social Plurality in the Colombian Local Media								INFORMATION				12	3					131			10.3390/info12030131							Article	MAR 2021	2021	Information on the management of local administrations and the actions of the political leaders who govern them is essential for citizens to exercise their political rights. It is therefore necessary for these administrations to provide quality information that the media can use as sources for their news stories. At the same time, these media outlets have to compare and report while taking into account the plurality of their audiences. However, in local settings, collusion exists between political power and media owners that restricts the plurality of news, favoring the dominant political interests and hiding the demands, interests and protagonism of other social actors. We study this problem in the Caribbean Region of Colombia. We analyze the information that the town halls of the main cities in the region provide to the media and how the largest print newspapers and main regional television news broadcasters report on local politics. We compare these news stories to establish whether there is a plurality of news reports. In addition, we analyze the key elements of the news items disseminated by private media outlets to establish whether they report a limited vision of reality: the topics covered, the protagonists referred to in headlines and news stories, and the sources against which the news and images are compared. The results reveal shortcomings that result in similar information between public information and private media content, thus limiting the plurality of news reports and the social protagonism of other social agents. Ultimately, this hinders quality journalism that satisfies the interests of citizens.									2	0	0	0	0	0	2				2078-2489										Univ Autonoma Barcelona, Dept Audiovisual Commun & Advertising, Bellaterra 08193, SpainUniv Norte, Mass Commun & Journalism, Barranquilla 080001, Colombia				2021-04-17	WOS:000633703100001		
J	Wang, Mengyue; Ge, Hongwei; Wang, Xia; Sun, Liang; Hou, Yaqing; Li, Bin										An evolutionary multitasking algorithm for multi-objective feature selection using dual-perspective reduction								ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE				152						110764			10.1016/j.engappai.2025.110764					APR 2025		Article	JUL 15 2025	2025	Feature selection inherently involves two conflicting objectives: minimizing the number of selected features and maximizing the classification accuracy. The exponential growth of the search space and complex interactions between features make high-dimensional feature selection challenging. Existing multi-objective methods suffer from slow convergence and limited search capabilities. Moreover, there is a lack of efficient methods for identifying feature subsets with equivalent objective values, which could offer diverse options. To address these issues, this paper proposes an evolutionary multitasking algorithm for multi-objective feature selection using dual-perspective reduction, called DREA-FS. First, a dual-perspective dimensionality reduction strategy is designed to generate simplified and complementary tasks through improved filter-based and group-based methods, facilitating the rapid identification of promising regions. To enable effective information sharing, a dual-archive multitasking optimization mechanism is proposed, which incorporates a diversity archive to preserve feature subsets with equivalent performance and maintain diversity. Coupled with an elite archive that offers convergence guidance, this mechanism achieves a balance between convergence and diversity across tasks, thereby enhancing the ability to search for equivalent feature subsets. Experimental results on 21 datasets demonstrate that the proposed method outperforms state-of-the-art multi-objective algorithms in classification performance. Besides, DREA-FS can identify different feature subsets with equivalent objective values, supporting decision-makers with diverse options and better interpretability.									1	0	0	0	0	0	1			0952-1976	1873-6769										Dalian Univ Technol, Sch Comp Sci & Technol, Dalian 116023, Liaoning, Peoples R ChinaHuadian Coal Ind Grp Co Ltd, Huadian Coal Grp Digital Intelligence Technol Co, Beijing 100035, Peoples R China	Huadian Coal Ind Grp Co Ltd			2025-04-29	WOS:001473170000001		
J	THOMAS, S; SUNNY, MT										INNER MULTIPLICITY OF UNITARY GROUPS								COMPUTER PHYSICS COMMUNICATIONS				14	3-4			267	272				10.1016/0010-4655(78)90020-6							Article	1978	1978										1	0	0	0	0	0	1			0010-4655											UNIV WESTERN ONTARIO,DEPT PHYS,LONDON N6A 3K7,ONTARIO,CANADAUNIV WESTERN ONTARIO,DEPT COMP SCI,LONDON N6A 3K7,ONTARIO,CANADA				1978-01-01	WOS:A1978FG77600010		
J	Feng, Wei; Liu, Zhi-Qiang; Wan, Liang; Pun, Chi-Man; Jiang, Jianmin				; Pun, Chi Man/GRJ-3703-2022; Feng, Wei/E-3985-2016	Pun, Chi-Man/0000-0003-1788-3746; Feng, Wei/0000-0003-3809-1086					A spectral-multiplicity-tolerant approach to robust graph matching								PATTERN RECOGNITION				46	10			2819	2829				10.1016/j.patcog.2013.03.003							Article	OCT 2013	2013	The intrinsic information of a graph can be fully encoded into its spectrum and corresponding eigenvectors of its adjacency matrix, which provides a solid foundation for the success of spectral graph matching methods. The spectral multiplicity, however, may significantly affect the matching accuracy. In this paper, we propose a spectral-multiplicity-tolerant graph matching approach. We start from modeling the spectral multiplicity in the matching error measurement. Next, we address the equal-size graph matching problem, and show how to establish the vertex-to-vertex correspondence by alternatively optimizing the multiplicity matrix C and the permutation matrix P. We also propose a reliable initialization method to make the iterative optimization process converge rapidly. Then, we extend the algorithm to unequal-size graph matching by optimally warping two graphs into the same size. A comprehensive performance evaluation has been conducted on a large synthetic dataset We also demonstrate the effectiveness of our approach on shape retrieval. The experimental results show that compared with existing methods, the proposed approach is more robust to noise and structural corruption and has a comparable complexity. (C) 2013 Elsevier Ltd. All rights reserved.									17	6	0	0	0	0	23			0031-3203	1873-5142										Tianjin Univ, Sch Comp Sci & Technol, Tianjin Key Lab Cognit Comp & Applicat, Tianjin 300072, Peoples R ChinaCity Univ Hong Kong, Sch Creat Media, Hong Kong, Hong Kong, Peoples R ChinaTianjin Univ, Sch Comp Software, Tianjin 300072, Peoples R ChinaUniv Macau, Dept Comp & Informat Sci, Macau, Peoples R China				2013-07-24	WOS:000320477400017		
J	McBurney, Peter; Omicini, Andrea				; Omicini, Andrea/G-5284-2013	McBurney, Peter/0000-0001-5547-5239; Omicini, Andrea/0000-0002-6655-3869					Special issue on foundations, advanced topics and industrial perspectives of multi-agent systems								AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS				17	3			367	371				10.1007/s10458-008-9051-z							Editorial Material	DEC 2008	2008	This paper introduces the Special Issue of the Journal of Autonomous Agents and Multi-Agent Systems on Foundations, Advanced Topics and Industrial Perspectives of Multi-Agent Systems. This special issue collects four articles dealing with some of the main issues that arose during the three Technical Forum Group meetings held in 2004 and 2005, which were organised and sponsored by the European FP6 Coordination Action AgentLink III.									0	0	0	0	0	0	1			1387-2532											Alma Mater Studiorum Univ Bologna, Cesena, ItalyUniv Liverpool, Dept Comp Sci, Liverpool L69 7ZF, Merseyside, England				2008-12-01	WOS:000259411800001		
J	Sekeroglu, Kazim; Soysal, Omer Muhammet				SOYSAL, Ömer/D-4708-2016; Soysal, Omer/D-4708-2016	Soysal, Omer/0000-0002-8832-9171					Multi-Perspective Hierarchical Deep-Fusion Learning Framework for Lung Nodule Classification								SENSORS				22	22					8949			10.3390/s22228949							Article	NOV 2022	2022	Lung cancer is the leading cancer type that causes mortality in both men and women. Computer-aided detection (CAD) and diagnosis systems can play a very important role for helping physicians with cancer treatments. This study proposes a hierarchical deep-fusion learning scheme in a CAD framework for the detection of nodules from computed tomography (CT) scans. In the proposed hierarchical approach, a decision is made at each level individually employing the decisions from the previous level. Further, individual decisions are computed for several perspectives of a volume of interest. This study explores three different approaches to obtain decisions in a hierarchical fashion. The first model utilizes raw images. The second model uses a single type of feature image having salient content. The last model employs multi-type feature images. All models learn the parameters by means of supervised learning. The proposed CAD frameworks are tested using lung CT scans from the LIDC/IDRI database. The experimental results showed that the proposed multi-perspective hierarchical fusion approach significantly improves the performance of the classification. The proposed hierarchical deep-fusion learning model achieved a sensitivity of 95% with only 0.4 fp/scan.									2	0	0	0	0	0	2				1424-8220										Southeastern Louisiana Univ, Dept Comp Sci, Hammond, LA 70402 USALouisiana State Univ, Sch Elect Engn & Comp Sci, Baton Rouge, LA 70803 USA				2022-12-08	WOS:000887609400001	36433541	
