author,title,year,isbn,publisher,address,url,doi,abstract,booktitle,articleno,numpages,keywords,location,series,pages
"Bakke, Eirik and Karger, David and Miller, Rob",A spreadsheet-based user interface for managing plural relationships in structured data,2011,9781450302289,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1978942.1979313,10.1145/1978942.1979313,"A key feature of relational database applications is managing emph{plural} relationships---one-to-many and many-to-many---between entities. However, since it is often infeasible to adopt or develop a new database application for any given schema at hand, information workers instead turn to spreadsheets, which lend themselves poorly to schemas requiring multiple related entity sets. In this paper, we propose to reduce the cost-usability gap between spreadsheets and tailor-made relational database applications by extending the spreadsheet paradigm to let the user establish relationships between rows in related worksheets as well as view and navigate the hierarchical cell structure that arises as a result. We present Related Worksheets, a spreadsheet-like prototype application, and evaluate it with a screencast-based user study on 36 Mechanical Turk workers. First-time users of our software were able to solve lookup-type query tasks with the same or higher accuracy as subjects using Microsoft Excel, in one case 40% faster on average.",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,260,10,"spreadsheets, one-to-many relationships, hierarchical views, foreign key relationships, databases","Vancouver, BC, Canada",CHI '11,2541–2550
"Tsukuda, Yuga and Tagami, Daichi and Sadasue, Masaaki and Suzuki, Shieru and Lu, Jun-Li and Ochiai, Yoichi",Calmbots: Exploring Possibilities of Multiple Insects with On-hand Devices and Flexible Controls as Creation Interfaces,2022,9781450391566,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3491101.3516387,10.1145/3491101.3516387,"We introduce ”Calmbots” that are insects-based interfaces comprising multiple functions, i.e., drawing, display, transportation, or haptics. We explore possibilities of multiple insects as co-creation interfaces making artworks through insects indirectly, in contrast with BioArt where artworks are made by biological technology. Considering scalability, sustainability, or promotability of applying insects-based devices on creation activities in daily life situations, we utilize on-hand and efficient control system by AR markers and radio-based station, and propose efficient ways of controlling multiple insects reaching goals and transporting objects, and customize flexible option parts. In robust experimental trials, our results showed effective control on a group of three or five cockroaches with at-least 60% reaching accuracy, mobility on carpeted or cable-lines floor, and possible continuous control under certain time duration. Participants in a user study felt positive with Calmbots’ functions and expected more performance or appearance on activities or creation in daily life.",Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems,9,13,"Interfaces of Multiple Insects, Insect-based Creation","New Orleans, LA, USA",CHI EA '22,2541–2550
"Schjerlund, Jonas and Hornb\ae{}k, Kasper and Bergstr\""{o}m, Joanna",OVRlap: Perceiving Multiple Locations Simultaneously to Improve Interaction in VR,2022,9781450391573,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3491102.3501873,10.1145/3491102.3501873,"We introduce OVRlap, a VR interaction technique that lets the user perceive multiple places at the same time from a first-person perspective. OVRlap achieves this by overlapping viewpoints. At any time, only one viewpoint is active, meaning that the user may interact with objects therein. Objects seen from the active viewpoint are opaque, whereas objects seen from passive viewpoints are transparent. This allows users to perceive multiple locations at once and easily switch to the one in which they want to interact. We compare OVRlap and a single-viewpoint technique in a study where 20 participants complete object-collection and monitoring tasks. We find that in both tasks, participants are significantly faster and move their head significantly less with OVRlap. We propose how the technique might be improved through automated switching of the active viewpoint and intelligent viewpoint rendering.",Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,355,13,"interaction techniques, large environments, user studies, virtual reality","New Orleans, LA, USA",CHI '22,2541–2550
"Chen, Eason",The Effect of Multiple Replies for Natural Language Generation Chatbots,2022,9781450391566,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3491101.3516800,10.1145/3491101.3516800,"In this research, by responding to users’ utterances with multiple replies to create a group chat atmosphere, we alleviate the problem that Natural Language Generation chatbots might reply with inappropriate content, thus causing a bad user experience. Because according to our findings, users tend to pay attention to appropriate replies and ignore inappropriate replies. We conducted a 2 (single reply vs. five replies) \texttimes{} 2 (anonymous avatar vs. anime avatar) repeated measures experiment to compare the chatting experience in different conditions. The result shows that users will have a better chatting experience when receiving multiple replies at once from the NLG model compared to the single reply. Furthermore, according to the effect size of our result, to improve the chatting experience for NLG chatbots which is single reply and anonymous avatar, providing five replies will have more benefits than setting an anime avatar.",Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems,469,5,"Natural Language Generation, Multiple Replies, Improve Chatting Experience, Chatbot","New Orleans, LA, USA",CHI EA '22,2541–2550
"Rechkemmer, Amy and Yin, Ming",When Confidence Meets Accuracy: Exploring the Effects of Multiple Performance Indicators on Trust in Machine Learning Models,2022,9781450391573,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3491102.3501967,10.1145/3491102.3501967,"Previous research shows that laypeople’s trust in a machine learning model can be affected by both performance measurements of the model on the aggregate level and performance estimates on individual predictions. However, it is unclear how people would trust the model when multiple performance indicators are presented at the same time. We conduct an exploratory human-subject experiment to answer this question. We find that while the level of model confidence significantly affects people’s belief in model accuracy, both the model’s stated and observed accuracy generally have a larger impact on people’s willingness to follow the model’s predictions as well as their self-reported levels of trust in the model, especially after observing the model’s performance in practice. We hope the empirical evidence reported in this work could open doors to further studies to advance understanding of how people perceive, process, and react to performance-related information of machine learning.",Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,535,14,"Machine learning, accuracy, confidence, human-subject experiments, trust","New Orleans, LA, USA",CHI '22,2541–2550
"Dang, Hai and Mecke, Lukas and Buschek, Daniel",GANSlider: How Users Control Generative Models for Images using Multiple Sliders with and without Feedforward Information,2022,9781450391573,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3491102.3502141,10.1145/3491102.3502141,"We investigate how multiple sliders with and without feedforward visualizations influence users’ control of generative models. In an online study (N=138), we collected a dataset of people interacting with a generative adversarial network (StyleGAN2) in an image reconstruction task. We found that more control dimensions (sliders) significantly increase task difficulty and user actions. Visual feedforward partly mitigates this by enabling more goal-directed interaction. However, we found no evidence of faster or more accurate task performance. This indicates a tradeoff between feedforward detail and implied cognitive costs, such as attention. Moreover, we found that visualizations alone are not always sufficient for users to understand individual control dimensions. Our study quantifies fundamental UI design factors and resulting interaction behavior in this context, revealing opportunities for improvement in the UI design for interactive applications of generative models. We close by discussing design directions and further aspects.",Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,569,15,"dataset, generative adversarial network, image manipulation, interactive AI, user study","New Orleans, LA, USA",CHI '22,2541–2550
"Seals, Ayanna and Pilloni, Giuseppina and Kim, Jin and Sanchez, Raul and Rizzo, John-Ross and Charvet, Leigh and Nov, Oded and Dove, Graham",‘Are They Doing Better In The Clinic Or At Home?’: Understanding Clinicians’ Needs When Visualizing Wearable Sensor Data Used In Remote Gait Assessments For People With Multiple Sclerosis,2022,9781450391573,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3491102.3501989,10.1145/3491102.3501989,"Walking impairment is a debilitating symptom of Multiple Sclerosis (MS), a disease affecting 2.8 million people worldwide. While clinicians’ in-person observational gait assessments are important, research suggests that data from wearable sensors can indicate early onset of gait impairment, track patients’ responses to treatment, and support remote and longitudinal assessment. We present an inquiry into supporting the transition from research to clinical practice. Co-design by HCI, biomedical, neurology and rehabilitation researchers resulted in a data-rich interface prototype for augmented gait analysis based on visualized sensor data. We used this as a prompt in interviews with ten experienced clinicians from a range of MS rehabilitation roles. We find that clinicians value quantitative sensor data within a whole patient narrative, to help track specific rehabilitation goals, but identify a tension between grasping critical information quickly and more detailed understanding. Based on the findings we make design recommendations for data-rich remote rehabilitation interfaces.",Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,350,16,"data visualization, gait assessments, multiple sclerosis, remote care, transition to clinical practice, wearables","New Orleans, LA, USA",CHI '22,2541–2550
"Jung, Jingun and Son, Sunmin and Lee, Sangyoon and Kim, Yeonsu and Lee, Geehyuk",ThroughHand: 2D Tactile Interaction to Simultaneously Recognize and Touch Multiple Objects,2021,9781450380966,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3411764.3445530,10.1145/3411764.3445530,"Users with visual impairments find it difficult to enjoy real-time 2D interactive applications on the touchscreen. Touchscreen applications such as sports games often require simultaneous recognition of and interaction with multiple moving targets through vision. To mitigate this issue, we propose ThroughHand, a novel tactile interaction that enables users with visual impairments to interact with multiple dynamic objects in real time. We designed the ThroughHand interaction to utilize the potential of the human tactile sense that spatially registers both sides of the hand with respect to each other. ThroughHand allows interaction with multiple objects by enabling users to perceive the objects using the palm while providing a touch input space on the back of the same hand. A user study verified that ThroughHand enables users to locate stimuli on the palm with a margin of error of approximately 13&nbsp;mm and effectively provides a real-time 2D interaction experience for users with visual impairments.",Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,29,13,"Visual impairments, Shape-changing display, Real-time interaction, Haptics, Games, Accessibility","Yokohama, Japan",CHI '21,2541–2550
"Pataranutaporn, Pat and Danry, Valdemar and Maes, Pattie","Machinoia, Machine of Multiple Me: Integrating with Past, Future and Alternative Selves",2021,9781450380959,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3411763.3450387,10.1145/3411763.3450387,"Our body and mind relate in ways which are extraordinarily enigmatic and seemingly incomprehensible. Recent findings exemplify this by showing not just that our minds can phenomenologically inhabit multiple bodies but also that our body can be accessed by multiple minds. As an exploration of this concept, we present Machinoia, a symbiotic augmentation that extends the user with two additional heads each of which are unique variations of the users identity: who you once were, and who you’ll eventually become. We used a generative adversarial network to synthesize life-like human faces and controlled them through artificial attitude models extracted from social media data of the wearer, thus creating “artificial personal intelligences” of the wearer, bringing to life past and future versions of oneself.",Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,26,7,"artificial intelligence, human enhancement, human-computer integration, philosophy of mind, wearable technology","Yokohama, Japan",CHI EA '21,2541–2550
"Sandnes, Frode Eika",HIDE: Short IDs for Robust and Anonymous Linking of Users Across Multiple Sessions in Small HCI Experiments,2021,9781450380959,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3411763.3451794,10.1145/3411763.3451794,"Record linking is needed to analyze observations across multiple sessions. However, recent privacy legislature such as the General Data Protection Regulations (GDPR) restricts the storage of information that identify individuals. Obtaining permissions to store information about individuals can be bureaucratic and time-consuming. Anonymous schemes such as self-generated ids and machine generated ids have been proposed. However, self-generated linking ids demand effort from the participants, while machine assisted schemes typically generate long and incomprehensible ids. Consequently, there is a risk that students and researchers will limit their research to single-session experiments to avoid privacy issues. To simplify the administration of small multi-session experiments, the HIDE procedure is proposed for generating short human readable ids for linking participants across multiple sessions while maintaining anonymity and being robust to input errors. The approach is different from previous approaches in that the goal is to minimize the length of the linking ids. First, the procedure converts the participant's name into a phonetic representation. Next, this phonetic representation is hashed, and a truncated snippet of the hash is used as the linking id. HIDE is initialized by searching for a salt (a random data added to the hash input) that minimizes the id lengths. Experiments show that the procedure is capable of coding small experiments with 20 participants using two digits, and experiments of around 200 participants with four digits. An implementation of the procedure has been made available through a simple web interface. It is hoped that the procedure can help students and HCI researchers collect more comprehensive data by following participants over time, while protecting their privacy.",Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,326,6,"GDPR, Hashing, Longitudinal studies, Multi session experiments, Privacy, Record linking, Soundex","Yokohama, Japan",CHI EA '21,2541–2550
"Neidlinger, Kristin and Koenderink, Stephanie and Truong, Khiet P.",Give the Body a Voice: Co-design with Profound Intellectual and Multiple Disabilities to Create Multisensory Wearables,2021,9781450380959,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3411763.3451797,10.1145/3411763.3451797,"This study explores non-verbal co-design techniques with multisensory wearables to give the body a voice. Sessions were led with professional caregivers, parents, and clients with PIMD (profound intellectual and multiple disabilities) to find fundamental building blocks for a common language based on tangible technologies. To provide an agent for communication we employed the tools of extimacy - translating biodata to visual, auditory, or tactile interactive displays. The caregivers expressed the need for action – reaction “Actie Reactie” to keep attention, which was an update from the Multisensory Environment (MSE) rooms previously used to calm. In the co-design sessions, we found the on-the-body wearables held the most focus. The final discovery from the study became the outline for creating a modular, highly personalized kit for a Multisensory Wearable (MSW) to inspire surprise and wonder.",Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,375,6,"PIMD, biosensing, co-design, extimacy, multisensory, non-verbal, wearable","Yokohama, Japan",CHI EA '21,2541–2550
"Buschek, Daniel and Z\""{u}rn, Martin and Eiband, Malin",The Impact of Multiple Parallel Phrase Suggestions on Email Input and Composition Behaviour of Native and Non-Native English Writers,2021,9781450380966,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3411764.3445372,10.1145/3411764.3445372,"We present an in-depth analysis of the impact of multi-word suggestion choices from a neural language model on user behaviour regarding input and text composition in email writing. Our study for the first time compares different numbers of parallel suggestions, and use by native and non-native English writers, to explore a trade-off of “efficiency vs ideation”, emerging from recent literature. We built a text editor prototype with a neural language model (GPT-2), refined in a prestudy with 30 people. In an online study (N=156), people composed emails in four conditions (0/1/3/6 parallel suggestions). Our results reveal (1) benefits for ideation, and costs for efficiency, when suggesting multiple phrases; (2) that non-native speakers benefit more from more suggestions; and (3) further insights into behaviour patterns. We discuss implications for research, the design of interactive suggestion systems, and the vision of supporting writers with AI instead of replacing them.",Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,732,13,"typing, text suggestions, neural network, language model, deep learning, dataset, Text entry","Yokohama, Japan",CHI '21,2541–2550
"Boukhelifa, Nadia and Bezerianos, Anastasia and Trelea, Ioan Cristian and Perrot, Nathalie M\'{e}jean and Lutton, Evelyne",An Exploratory Study on Visual Exploration of Model Simulations by Multiple Types of Experts,2019,9781450359702,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3290605.3300874,10.1145/3290605.3300874,"Experts in different domains rely increasingly on simulation models of complex processes to reach insights, make decisions, and plan future projects. These models are often used to study possible trade-offs, as experts try to optimise multiple conflicting objectives in a single investigation. Understanding all the model intricacies, however, is challenging for a single domain expert. We propose a simple approach to support multiple experts when exploring complex model results. First, we reduce the model exploration space, then present the results on a shared interactive surface, in the form of a scatterplot matrix and linked views. To explore how multiple experts analyse trade-offs using this setup, we carried out an observational study focusing on the link between expertise and insight generation during the analysis process. Our results reveal the different exploration strategies and multi-storyline approaches that domain experts adopt during trade-off analysis, and inform our recommendations for collaborative model exploration systems.",Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,732,14,"visualization, trade-off analysis, scatterplot matrix, qualitative study, model exploration, insight, expertise, common ground, collaboration","Glasgow, Scotland Uk",CHI '19,1–14
"Kurogi, Tadatoshi and Yonehara, Yuji and Sago, Genki and Shimada, Masatoshi and Fujiwara, Takeshi and Peiris, Roshan Lalintha","Small, Soft, Thin, Lightweight and Flexible Tactile Display Enabling to Provide Multiple Mechanical Stimuli",2020,9781450368193,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3334480.3383010,10.1145/3334480.3383010,"We propose a small, soft, thin, lightweight, and flexible tactile display consisting of just a single actuator that can provide multiple, mechanical tactile stimuli such as vibration and heating. Various other tactile displays require the usage of multiple actuators such as motors, voice coils, speakers, Peltier elements, and heaters. However, our proposed tactile display uses just one actuator, the Dielectric Elastomer Actuator (DEA), to output vibration and heating. By configuring a tactile display with a DEA, our proposed tactile display can become very small, soft, thin, lightweight, and flexible while being able to output multiple mechanical stimuli. We describe the design of the prototype, control method for the output vibration and heating, advantages and disadvantages of this concept, and discuss future applications.",Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems,732,8,"DEA, haptic interface, interactive device, tactile display, thermal feedback","Honolulu, HI, USA",CHI EA '20,1–8
"Larsen-Ledet, Ida and Korsgaard, Henrik and B\o{}dker, Susanne",Collaborative Writing Across Multiple Artifact Ecologies,2020,9781450367080,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3313831.3376422,10.1145/3313831.3376422,"Research focusing on how collaborative writing takes place across multiple applications and devices and over longer projects is sparse. We respond to this gap by presenting the results of a qualitative study of longer-term academic writing projects, showing how co-writers employ multiple tools when working on a common text. We identify three patterns of multi-application collaboration as well as four common types of motivations for transitions between applications. We also extend existing taxonomies of collaborative writing by proposing a categorization of the functions served by the text as object and backbone of the collaboration. Together, these contributions offer a framing for understanding transitions within and across artifact ecologies in work around a common object. Our findings highlight ways in which features like concurrent editing may in fact challenge the collaborative writing process, and we point to opportunities for alternative application models.",Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,732,14,"academic writing, aligned artifact ecology, artifact ecology, collaboration, collaborative academic writing, collaborative writing, computer-supported cooperative work, cscw, github, google docs, latex, overleaf, personal artifact ecology, potential artifact ecology, sharelatex, text function","Honolulu, HI, USA",CHI '20,1–14
"Berry, Andrew B. L. and Lim, Catherine Y. and Hirsch, Tad and Hartzler, Andrea L. and Kiel, Linda M. and Bermet, Zo\""{e} A. and Ralston, James D.",Supporting Communication About Values Between People with Multiple Chronic Conditions and their Providers,2019,9781450359702,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3290605.3300700,10.1145/3290605.3300700,"People with multiple chronic conditions (MCC) often disagree with healthcare providers on priorities for care, leading to worse health outcomes. To align priorities, there is a need to support patient-provider communication about what patients consider important for their well-being and health (i.e., their personal values). To address barriers to communication about values, we conducted a two-part study with key stakeholders in MCC care: patients, informal caregivers, and providers. In Part I, co-design activities generated seven dimensions that characterize stakeholders' diverse ideas for supporting communication about values: explicitness, effort, disclosure, guidance, intimacy, scale, and synchrony. In Part II, we used the dimensions to generate three design concepts and presented them in focus groups to further scrutinize findings from Part I. Based on these findings we outline directions for research and design to improve patient-provider communication about patients' personal values.",Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,732,14,"patient-provider communication, multiple chronic conditions, multimorbidity, co-design","Glasgow, Scotland Uk",CHI '19,1–14
"G\""{u}ldenpfennig, Florian and Mayer, Peter and Panek, Paul and Fitzpatrick, Geraldine",An Autonomy-Perspective on the Design of Assistive Technology Experiences of People with Multiple Sclerosis,2019,9781450359702,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3290605.3300357,10.1145/3290605.3300357,"In HCI and Assistive Technology design, autonomy is regularly equated with independence. This is a shortcut and leaves out design opportunities by omitting a more nuanced idea of autonomy. To improve our understanding of how people with severe physical disabilities experience autonomy, particularly in the context of Assistive Technologies, we engaged in in-depth fieldwork with 15 people with Multiple Sclerosis who were used to assistive devices. We constructed a grounded theory from a series of interviews, focus groups and observations, pointing to strategies in which participants sought autonomy either in the short-term (managing their daily energy reserve) or in the long-term (making future plans). The theory shows how factors like enabling technologies, capital (human, social, psychological resources), and compatibility with daily practices facilitated a sense of being in control for our participants. Moreover, we show how over-ambitious or bad design (e.g., paternalism) can lead to opposite results and restrict autonomy.",Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,732,14,"robotic toilet, multiple sclerosis, grounded theory, autonomy, ambient assisted living, active and assisted living","Glasgow, Scotland Uk",CHI '19,1–14
"Chaves, Ana Paula and Gerosa, Marco Aurelio",Single or Multiple Conversational Agents? An Interactional Coherence Comparison,2018,9781450356206,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3173574.3173765,10.1145/3173574.3173765,"Chatbots focusing on a narrow domain of expertise are in great rise. As several tasks require multiple expertise, a designer may integrate multiple chatbots in the background or include them as interlocutors in a conversation. We investigated both scenarios by means of a Wizard of Oz experiment, in which participants talked to chatbots about visiting a destination. We analyzed the conversation content, users' speech, and reported impressions. We found no significant difference between single- and multi-chatbots scenarios. However, even with equivalent conversation structures, users reported more confusion in multi-chatbots interactions and adopted strategies to organize turn-taking. Our findings indicate that implementing a meta-chatbot may not be necessary, since similar conversation structures occur when interacting to multiple chatbots, but different interactional aspects must be considered for each scenario.",Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,732,13,"human-agent communication, dialog agent, chatbot","Montreal QC, Canada",CHI '18,1–13
"Sumi, Yasuyuki and Suwa, Masaki and Hanaue, Koichi",Effects of Viewing Multiple Viewpoint Videos on Metacognition of Collaborative Experiences,2018,9781450356206,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3173574.3174222,10.1145/3173574.3174222,"This paper discusses the effects of multiple viewpoint videos for metacognition of experiences. We present a system for recording multiple users' collaborative experiences by wearable and environmental sensors, and another system for viewing multiple viewpoint videos automatically identified and extracted to associate to individual users. We designed an experiment to compare the metacognition of one's own experience between those based on memory and those supported by video viewing. The experimental results show that metacognitive descriptions related to one's own mind, such as feelings and preferences, are possible regardless whether a person is viewing videos, but such episodic descriptions as the content of someone's utterance and what s/he felt associated with it are strongly promoted by video viewing. We conducted another experiment where the same participants did identical metacognitive description tasks about half a year after the previous experiment. Through the experiments, we found the first-person view video is mostly used for confirming the episodic facts immediately after the experience, whereas after half a year, even one's own experience is often felt like the experiences of others therefore the videos capturing themselves from the conversation partners and environment become important for thinking back to the situations where they were placed.",Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,732,13,"multiple viewpoint videos, metacognition, experience capturing","Montreal QC, Canada",CHI '18,1–13
"Yao, Nancy and Brewer, Jeff and D'Angelo, Sarah and Horn, Mike and Gergle, Darren",Visualizing Gaze Information from Multiple Students to Support Remote Instruction,2018,9781450356213,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3170427.3188453,10.1145/3170427.3188453,"Technologically-mediated learning environments are becoming increasingly popular, however remote learning still lacks many of the important interpersonal features that are leveraged in effective co-located learning. Recent work has started to build in non-verbal cues to support remote collaboration, such as showing pairs where their partner is looking on the screen. This method of displaying gaze visualizations has been shown to support coordination and learning in remote collaborative tasks. However, we have yet to explore how this technique scales to support multiple students with one teacher in a technology-mediated learning environment. In this study, we design and evaluate a system for displaying real time gaze information from multiple students to a single teacher's display during a computer science studio session. Our results suggest that multiple gaze visualizations can improve the teaching experience in remote settings. Further, we provide design recommendations for future systems based on our preliminary results.",Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems,732,6,"collaboration, eye-tracking, gaze visualizations, learning","Montreal QC, Canada",CHI EA '18,1–6
"Schlosser, Paul and Grundgeiger, Tobias and Happel, Oliver",Multiple Patient Monitoring in the Operating Room using a Head-Mounted Display,2018,9781450356213,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3170427.3188460,10.1145/3170427.3188460,"Physicians and nurses in intensive care units and operating rooms are responsible for several patients at the same time. However, monitoring multiple patients can be challenging, for example, because staff are moving and vital signs may not be accessible. Therefore, physicians and nurses may not be able to create a full picture of their patients' status - so called situation awareness. The hands-free operability and portability of a head-mounted display could allow physicians and nurses to monitor vital signs constantly and independently of location. We developed an application that displays vital signs of multiple patients on a Vuzix M300 head-mounted display. In this work, we describe the user-centered design approach, implementation, and future evaluation of the application in the operating room at the University Hospital W\""{u}rzburg.",Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems,732,6,"head-mounted display, patient monitoring","Montreal QC, Canada",CHI EA '18,1–6
"Marwecki, Sebastian and Brehm, Maximilian and Wagner, Lukas and Cheng, Lung-Pan and Mueller, Florian 'Floyd' and Baudisch, Patrick",VirtualSpace - Overloading Physical Space with Multiple Virtual Reality Users,2018,9781450356206,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3173574.3173815,10.1145/3173574.3173815,"Although virtual reality hardware is now widely available, the uptake of real walking is hindered by the fact that it requires often impractically large amounts of physical space. To address this, we present VirtualSpace, a novel system that allows overloading multiple users immersed in different VR experiences into the same physical space. VirtualSpace accomplishes this by containing each user in a subset of the physical space at all times, which we call tiles; app-invoked maneuvers then shuffle tiles and users across the entire physical space. This allows apps to move their users to where their narrative requires them to be while hiding from users that they are confined to a tile. We show how this enables VirtualSpace to pack four users into 16m2. In our study we found that VirtualSpace allowed participants to use more space and to feel less confined than in a control condition with static, pre-allocated space.",Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,732,10,"virtual reality, real walking, locomotion","Montreal QC, Canada",CHI '18,1–10
"Zgraggen, Emanuel and Zhao, Zheguang and Zeleznik, Robert and Kraska, Tim",Investigating the Effect of the Multiple Comparisons Problem in Visual Analysis,2018,9781450356206,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3173574.3174053,10.1145/3173574.3174053,"The goal of a visualization system is to facilitate dataset-driven insight discovery. But what if the insights are spurious? Features or patterns in visualizations can be perceived as relevant insights, even though they may arise from noise. We often compare visualizations to a mental image of what we are interested in: a particular trend, distribution or an unusual pattern. As more visualizations are examined and more comparisons are made, the probability of discovering spurious insights increases. This problem is well-known in Statistics as the multiple comparisons problem (MCP) but overlooked in visual analysis. We present a way to evaluate MCP in visualization tools by measuring the accuracy of user reported insights on synthetic datasets with known ground truth labels. In our experiment, over 60% of user insights were false. We show how a confirmatory analysis approach that accounts for all visual comparisons, insights and non-insights, can achieve similar results as one that requires a validation dataset.",Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,732,12,"visualization, visual analysis, statistics, multiple comparisons problem, experiment","Montreal QC, Canada",CHI '18,1–12
"Zhang, Xucong and Huang, Michael Xuelin and Sugano, Yusuke and Bulling, Andreas",Training Person-Specific Gaze Estimators from User Interactions with Multiple Devices,2018,9781450356206,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3173574.3174198,10.1145/3173574.3174198,"Learning-based gaze estimation has significant potential to enable attentive user interfaces and gaze-based interaction on the billions of camera-equipped handheld devices and ambient displays. While training accurate person- and device-independent gaze estimators remains challenging, person-specific training is feasible but requires tedious data collection for each target device. To address these limitations, we present the first method to train person-specific gaze estimators across multiple devices. At the core of our method is a single convolutional neural network with shared feature extraction layers and device-specific branches that we train from face images and corresponding on-screen gaze locations. Detailed evaluations on a new dataset of interactions with five common devices (mobile phone, tablet, laptop, desktop computer, smart TV) and three common applications (mobile game, text editing, media center) demonstrate the significant potential of cross-device training. We further explore training with gaze locations derived from natural interactions, such as mouse or touch input.",Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,732,12,"multi-devices, appearance-based gaze estimation","Montreal QC, Canada",CHI '18,1–12
"Berry, Andrew B. L. and Lim, Catherine and Hartzler, Andrea L. and Hirsch, Tad and Wagner, Edward H. and Ludman, Evette and Ralston, James D.",How Values Shape Collaboration Between Patients with Multiple Chronic Conditions and Spousal Caregivers,2017,9781450346559,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3025453.3025923,10.1145/3025453.3025923,"Individuals with multiple chronic conditions (MCC) collaborate with spousal caregivers daily to pursue what is most important to their health and well-being. Previous research in human-computer interaction has supported individuals with chronic conditions or their caregivers, but little has supported both as a unit. We conducted a field study with 12 patient-caregiver dyads, all married and living together, to identify partners' values and how they shape collaborative management of MCC. Partners' coinciding values motivated them to empathize with and support each other in the face of challenges related to health and well-being. When their values were asymmetric, they perceived tensions between individual autonomy and their ability to coordinate with their partner. Systems to support partners in this context could help them overcome asymmetric values, but should balance this with support for individual autonomy.",Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,732,14,"self-management, self-care, patient, multiple chronic conditions, coordination, collaboration, caregiver","Denver, Colorado, USA",CHI '17,5257–5270
"Meng, Weizhi and Li, Wenjuan and Jiang, Lijun and Meng, Liying",On Multiple Password Interference of Touch Screen Patterns and Text Passwords,2016,9781450333627,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2858036.2858547,10.1145/2858036.2858547,"The memorability of multiple passwords is an important topic for user authentication systems. With the advent of Android unlock pattern mechanism, research studies started investigating its usability and security features. This paper presents a study of recalling multiple passwords between text passwords and touch screen unlock patterns, as well as exploring whether users have difficulty in remembering those patterns after a period of time. In our study, participants create unlock patterns for various account scenarios. Our results reveal that participants in the unlock pattern condition with three accounts can outperform those in the text password condition (i.e., achieve higher success rates), not only in a one-hour session (short-term), but also after two weeks (long-term). However, there was no statistically significant difference between participants in the text password and unlock pattern condition in the long-term, when dealing with six accounts.",Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,732,5,"user authentication, usable security, multiple password interference, graphical password, android unlock pattern","San Jose, California, USA",CHI '16,4818–4822
